    536   -4651    2794      521    2907     355    -3243    6384    4566
    536   -4651    2794    -1410     272    3722    -2773    5023    3117
   -113   -3916    1763    -1164   -3592    3642    -2248    5348    4182
   -113   -3916    1763    -2882    2776    3806     -364    1516    1421
   -113   -3916    1763     3579    -611    4695    -1368    -125    1124
   -113   -3916    1763     6408     108    2720     -281    2702    -202
    179   -3592    1615     3081    1079    1335     -488    5576     183
    179   -3592    1615    -1250    1446    1602     -810    6386     -40
    179   -3592    1615    -4652    -326    3622     -714    4282     -99
    179   -3592    1615    -2954   -1498    3741      294     701   -2010
   1586   -3374    2048     2026     114    2098      206     999   -3346
   1586   -3374    2048      950     396    1605     -822    4117   -2661
   1586   -3374    2048    -4650    -188    1849    -1567    4825   -1676
   1586   -3374    2048    -7748   -1719    2393    -1477    2519    -963
   2582   -2656    2862    -5765    -775    2353    -1250    -777   -1847
   2582   -2656    2862    -1623     420    2306    -2029   -1033   -1468
   2582   -2656    2862     1215   -1515    2530    -2587     861   -1936
   2582   -2656    2862      305    1144     459    -3268    2396   -3375
   2688   -1668    3123    -1634   -1634    -438    -4712    4430   -2094
   2688   -1668    3123    -5369   -3977     183    -4458    3997   -2463
   2688   -1668    3123    -4969   -4817    1255    -4233     867   -4780
   2688   -1668    3123    -2995   -5103    1191    -3317    -405   -5000
   2404    -493    4254    -2154   -5476      44    -2678   -1760   -7309
   2404    -493    4254    -3001   -1799   -1348    -3015   -3054   -6858
   2404    -493    4254     -684   -7966     151    -3734   -4031   -3756
   2404    -493    4254     1687   -9947     104     -266   -3671   -5004
   1102     376    4054     1082   -4583   -1135     1371   -2411   -2638
   1102     376    4054     2615   -6625    -356     1325   -1890   -1093
   1102     376    4054     5363  -10448    -564     3736    -856   -2869
   1102     376    4054     4945   -5335   -2604     5232    2009   -3858
    -33     855    3076     3737   -5440   -1534     5062    4309   -1372
    -33     855    3076     2055   -5763    -404     6346    4816    -299
    -33     855    3076     1802   -4310   -1949     7545    3892   -1378
    -33     855    3076     1917   -3073   -2100     7749    4781    -614
    714    -355    1539      -67    -524   -5768     9309    5510   -4259
    714    -355    1539    -4288    6364    2296     1472    3234    2655
    714    -355    1539     2579   -6444    4188     1846    2920    4675
    714    -355    1539      673    -727    -811     5206    4477    1474
   1943   -1786    1820    -2991    3845    2292     4159    4375    4642
   1943   -1786    1820    -1934    1390    2304     3559    3483    6233
   1943   -1786    1820    -1160     692    3330     4298    2986    7355
   1943   -1786    1820     -297    1390    2544     5584    2249    6700
   1794   -4339    3410     1077    6489     777     5054    1658    6540
   1794   -4339    3410     3848    4194      17     3504    3862    7921
   1794   -4339    3410    -1093    4669    1442     3698    4176    6600
   1794   -4339    3410    -1440    7148    1401     1457      92    3624
   -442   -4968    4753     4874    1855     197     2258     300    1746
   -442   -4968    4753     3676    5030    -420     1747    2133     265
   -442   -4968    4753     1162    3771     178      597    2771    -145
   -442   -4968    4753     -736    3496    2567      796    1596    -899
   -775   -4791    4992     1144    1203    1799     1949     785    -191
   -775   -4791    4992      855    3957    -584     2939    1561     340
   -775   -4791    4992     -113    3580    -344     2317    1372    2450
   -775   -4791    4992      455    4071   -2201      786   -1933    -968
   -985   -4449    5690     3297    6841     495     1093     402      12
   -985   -4449    5690     3303    6709   -1102      374    1664   -1582
   -985   -4449    5690     1396    5665   -1474    -1220    2773   -1882
   -985   -4449    5690    -1282    3786    -301    -1633    2463   -1766
   -937   -4597    5305    -3006    -518    2519      915    1431      13
   -937   -4597    5305    -2213    4553     298     1578   -2212    -504
   -937   -4597    5305     1584    3760    -918     2046   -1093    2192
   -937   -4597    5305     1792    4283    -592     2059    -134    2088
  -1337   -4076    5853      314    2794    -808     2940    2068    6738
  -1337   -4076    5853    -3354    1935      22     3315    -435    6846
  -1337   -4076    5853      869    6837   -3121     2308   -4540    1867
  -1337   -4076    5853     5476    8029   -2282      814   -1948    3325
  -1814   -2754    6628     2340    6786   -1624    -1125     183    1830
  -1814   -2754    6628       56    4066   -3295    -2402   -1686    1017
  -1814   -2754    6628      743    2007   -2843    -3430   -2130    1534
  -1814   -2754    6628      300    -347     -34    -3220   -2873    1815
  -1520   -3355    6581     2935   -4081   -2043    -1085   -4893    -245
  -1520   -3355    6581     3902   -1224   -2195     2158   -3085    1090
  -1520   -3355    6581     4340    1840   -1942     2714   -2528     712
