   1845    -686    8058      595    2498   -3218       50     -57     -62
   1821    -718    8134      572    2776   -3153       45     -49     -44
   1821    -718    8134      611    2544   -3236       80    -100     -40
   1821    -718    8134      573    2775   -3205       50     -78     -59
   1821    -718    8134      590    2547   -3205       74     -86     -77
   1821    -702    8104      606    2546   -3181       57     -39     -26
   1821    -702    8104      615    2581   -3163       68     -79     -56
   1821    -702    8104      589    2550   -3155       58     -82     -61
   1821    -702    8104      604    2540   -3163       44     -48     -49
   1836    -721    8077      597    2556   -3161       47     -63     -52
   1836    -721    8077      569    2535   -3163       48     -54     -54
   1836    -721    8077      571    2513   -3185       59     -52     -39
   1836    -721    8077      584    2558   -3190       49     -52     -36
   1828    -723    8073      578    2500   -3210       62     -76     -57
   1828    -723    8073      594    2582   -3173       71     -90     -64
   1828    -723    8073      607    2526   -3168       47     -53     -42
   1828    -723    8073      610    2570   -3208       42     -59     -52
   1782    -734    8091      621    2595   -3197       27     -31     -29
   1782    -734    8091      566    2560   -3182       71     -61     -58
   1782    -734    8091      651    2531   -3186       40     -45     -62
   1782    -734    8091      614    2344   -3205       59     -53     -44
   1828    -722    8087      625    2559   -3169       68     -76     -46
   1828    -722    8087      620    2332   -3211       50     -33     -31
   1828    -722    8087      627    2584   -3181       43     -45     -42
   1828    -722    8087      542    2326   -3181       66     -68     -57
   1815    -706    8061      645    2553   -3229       37     -43     -61
   1815    -706    8061      559    2815   -3190       47     -32     -38
   1815    -706    8061      583    2557   -3207       74     -86     -51
   1815    -706    8061      595    2555   -3247       73    -102     -78
   1855    -706    8071      601    2559   -3176       55     -60     -74
   1855    -706    8071      655    2552   -3199       53     -44     -33
   1855    -706    8071      557    2563   -3193       37     -36     -24
   1855    -706    8071      604    2530   -3235       61    -101     -73
   1855    -701    8132      529    2555   -3153       71     -95     -61
   1844    -701    8132      628    2552   -3210       42     -54     -40
   1844    -701    8132      603    2535   -3214       64     -42     -42
   1844    -701    8132      581    2560   -3257       56     -67     -42
   1844    -701    8120      620    2552   -3181       57     -80     -71
   1860    -728    8120      639    2576   -3163       53     -62     -57
   1860    -728    8120      577    2509   -3133       73     -53     -39
   1860    -728    8120      617    2528   -3238       63     -70     -42
   1860    -728    8120      615    2321   -3196       60     -76     -65
   1835    -693    8071      566    2522   -3195       28     -28     -59
   1835    -693    8071      556    2780   -3214       66     -89     -73
   1835    -693    8071      548    2556   -3157       48     -60     -54
   1835    -693    8071      612    2568   -3178       40     -35     -36
   1846    -665    8033      622    2546   -3222       77     -92     -55
   1846    -665    8033      600    2517   -3219       56     -54     -49
   1846    -665    8033      562    2532   -3209       71     -86     -59
